date,NIFTY_ALPHA_50,NIFTY500_MOMENTUM_50,NIFTY500_MULTIFACTOR_MQVLV_50,NIFTY500_QUALITY_50,NIFTY500_VALUE_50,NIFTY500_LOW_VOLATILITY_50,NIFTY_HIGH_BETA_50,NIFTY_500
2003-09-30,,,,,,,,1138.55
2003-10-01,,,,,,,,1142.3
2003-10-03,,,,,,,,1160.8
2003-10-06,,,,,,,,1188.25
2003-10-07,,,,,,,,1184.2
2003-10-08,,,,,,,,1186.5
2003-10-09,,,,,,,,1204.05
2003-10-10,,,,,,,,1208.25
2003-10-13,,,,,,,,1230.9
2003-10-14,,,,,,,,1206.05
2003-10-15,,,,,,,,1215.45
2003-10-16,,,,,,,,1226.9
2003-10-17,,,,,,,,1235.65
2003-10-20,,,,,,,,1211.05
2003-10-21,,,,,,,,1183.5
2003-10-22,,,,,,,,1169.55
2003-10-23,,,,,,,,1155.9
2003-10-24,,,,,,,,1180.4
2003-10-25,,,,,,,,1198.9
2003-10-27,,,,,,,,1173.45
2003-10-28,,,,,,,,1167.1
2003-10-29,,,,,,,,1174.85
2003-10-30,,,,,,,,1185.85
2003-10-31,,,,,,,,1218.3
2003-11-03,,,,,,,,1242.8
2003-11-04,,,,,,,,1257.7
2003-11-05,,,,,,,,1259.7
2003-11-06,,,,,,,,1268.15
2003-11-07,,,,,,,,1259.75
2003-11-10,,,,,,,,1270.55
2003-11-11,,,,,,,,1281.25
2003-11-12,,,,,,,,1286.54
2003-11-13,,,,,,,,1262.65
2003-11-14,,,,,,,,1236.9
2003-11-15,,,,,,,,1247.5
2003-11-17,,,,,,,,1262.2
2003-11-18,,,,,,,,1252.35
2003-11-19,,,,,,,,1233.75
2003-11-20,,,,,,,,1217.05
2003-11-21,,,,,,,,1223.1
2003-11-24,,,,,,,,1231.35
2003-11-25,,,,,,,,1250.75
2003-11-27,,,,,,,,1269.8
2003-11-28,,,,,,,,1285.4
2003-12-01,,,,,,,,1313.15
2003-12-02,,,,,,,,1315.2
2003-12-03,,,,,,,,1329.55
2003-12-04,,,,,,,,1338.2
2003-12-05,,,,,,,,1318.8
2003-12-08,,,,,,,,1326.95
2003-12-09,,,,,,,,1355.95
2003-12-10,,,,,,,,1365.4
2003-12-11,,,,,,,,1377.35
2003-12-12,,,,,,,,1381.55
2003-12-15,,,,,,,,1397
2003-12-16,,,,,,,,1399.3
2003-12-17,,,,,,,,1400.2
2003-12-18,,,,,,,,1428.1
2003-12-19,,,,,,,,1450
2003-12-22,,,,,,,,1466.75
2003-12-23,,,,,,,,1456.9
2003-12-24,,,,,,,,1475
2003-12-26,,,,,,,,1496.35
2003-12-29,,,,,,,,1525.5
2003-12-30,,,,,,,,1525.25
2003-12-31,1000,,,,,,,1531.35
2004-01-01,1015.79,,,,,,,1562.95
2004-01-02,1026.63,,,,,,,1609.3
2004-01-05,1018.69,,,,,,,1616.2
2004-01-06,1005.27,,,,,,,1587.4
2004-01-07,996.9,,,,,,,1579.65
2004-01-08,1033.63,,,,,,,1633.2
2004-01-09,1038.18,,,,,,,1630.6
2004-01-12,1021.97,,,,,,,1605.35
2004-01-13,1023.08,,,,,,,1608.75
2004-01-14,1044.21,,,,,,,1621.2
2004-01-15,1035.59,,,,,,,1597.3
2004-01-16,1015.1,,,,,,,1555.15
2004-01-19,1013.46,,,,,,,1576.95
2004-01-20,1003.53,,,,,,,1546.75
2004-01-21,940.22,,,,,,,1466.15
2004-01-22,920.2,,,,,,,1424.05
2004-01-23,963.31,,,,,,,1494.4
2004-01-27,993.18,,,,,,,1547.65
2004-01-28,974.81,,,,,,,1509.55
2004-01-29,972.34,,,,,,,1496.1
2004-01-30,942.75,,,,,,,1459.8
2004-02-03,901.43,,,,,,,1403.55
2004-02-04,926.15,,,,,,,1444.95
2004-02-05,928.46,,,,,,,1437.15
2004-02-06,939.95,,,,,,,1466.6
2004-02-09,957.38,,,,,,,1501.35
2004-02-10,959.44,,,,,,,1501.65
2004-02-11,967.25,,,,,,,1512.55
2004-02-12,980.08,,,,,,,1511.65
2004-02-13,998.13,,,,,,,1533.4
2004-02-16,1006.64,,,,,,,1535.35
2004-02-17,1004.28,,,,,,,1537.15
2004-02-18,1004.39,,,,,,,1543.5
2004-02-19,986.43,,,,,,,1501.3
2004-02-20,980.32,,,,,,,1494.65
2004-02-23,960.6,,,,,,,1457
2004-02-24,959.85,,,,,,,1461.2
2004-02-25,941.8,,,,,,,1430.8
2004-02-26,935.14,,,,,,,1419.85
2004-02-27,937.48,,,,,,,1442.8
2004-03-01,959.33,,,,,,,1484.2
2004-03-03,965.91,,,,,,,1487.65
2004-03-04,960.45,,,,,,,1480
2004-03-05,971.93,,,,,,,1506.7
2004-03-08,988.07,,,,,,,1535.7
2004-03-09,981.07,,,,,,,1518.75
2004-03-10,980.59,,,,,,,1504.55
2004-03-11,962.15,,,,,,,1476.8
2004-03-12,960.79,,,,,,,1475.45
2004-03-15,942.52,,,,,,,1435.8
2004-03-16,922.88,,,,,,,1429.5
2004-03-17,930.94,,,,,,,1437.1
2004-03-18,916.3,,,,,,,1414.65
2004-03-19,910.93,,,,,,,1418.9
2004-03-22,871.71,,,,,,,1383.25
2004-03-23,862.02,,,,,,,1383.8
2004-03-24,864.63,,,,,,,1384.25
2004-03-25,884.31,,,,,,,1396.2
2004-03-26,905.58,,,,,,,1428.05
2004-03-29,921.62,,,,,,,1442.9
2004-03-30,935.86,,,,,,,1441.2
2004-03-31,946.88,,,,,,,1457.5
2004-04-01,974.14,,,,,,,1491.2
2004-04-02,989.21,,,,,,,1513.15
2004-04-05,998.58,,,,,,,1524.1
2004-04-06,989.47,,,,,,,1517
2004-04-07,982.66,,,,,,,1516.05
2004-04-08,988.47,,,,,,,1531.15
2004-04-12,996.95,,,,,,,1526.75
2004-04-13,1004.23,,,,,,,1557.4
2004-04-15,1008.7,,,,,,,1554.9
2004-04-16,1015.8,,,,,,,1563.05
2004-04-17,1026.68,,,,,,,1567.1
2004-04-19,1010.59,,,,,,,1543.1
2004-04-20,1009.51,,,,,,,1541.7
2004-04-21,1027.59,,,,,,,1567.65
2004-04-22,1042.89,,,,,,,1585.9
2004-04-23,1051.07,,,,,,,1589.25
2004-04-27,1004,,,,,,,1521.35
